BH,BW,RT,latency
8,8,1,2.397910308837891
8,16,1,1.357868766784668
8,32,8,0.8915360450744629
8,64,8,0.9132736206054688
8,128,8,0.9273440361022948
16,8,1,2.307228851318359
16,16,1,1.3961952209472657
16,32,8,0.8938655853271484
16,64,8,0.912384033203125
16,128,8,0.9198207855224608
32,8,1,2.3392576217651366
32,16,1,1.3536288261413574
32,32,8,0.9012639999389648
32,64,8,0.9076224327087402
32,128,8,0.9179776191711426
64,8,1,2.295167922973633
64,16,1,1.3171648025512694
64,32,8,0.891209602355957
64,64,8,0.9077119827270508
64,128,8,0.927840042114258
128,8,1,2.5166624069213865
128,16,1,1.517516803741455
128,32,8,1.0153599739074708
128,64,16,1.0029184341430664
128,128,8,0.9450048446655274
