BH,BW,RT,latency
8,8,4,2.994144058227539
8,16,8,2.9954687118530274
8,32,8,2.824659156799316
8,64,8,2.9168575286865237
8,128,8,3.026012802124024
16,8,4,3.0000864028930665
16,16,16,2.986384010314941
16,32,8,2.817740821838379
16,64,16,2.9176799774169924
16,128,16,2.981760025024414
32,8,4,3.01429443359375
32,16,16,2.968582344055176
32,32,8,2.814208030700684
32,64,8,2.889743995666504
32,128,16,2.94454402923584
64,8,4,3.002393531799316
64,16,16,2.9718015670776365
64,32,8,2.797088050842285
64,64,16,2.8678495407104494
64,128,16,2.9687328338623047
128,8,4,3.0193119049072266
128,16,16,2.948438453674316
128,32,8,2.786729621887207
128,64,16,2.8843936920166016
128,128,8,2.9729888916015623
