mode,trans_A,trans_B,BM,BK,BN,TM,TK,TN,latency
dds,False,False,8,8,8,2,2,2,83.95069580078125
dds,False,False,8,8,16,4,8,2,43.84989013671875
dds,False,False,8,8,32,8,8,2,27.1609619140625
dds,False,False,8,8,64,8,8,4,28.324365234375
dds,False,False,8,8,128,2,2,2,inf
dds,False,False,8,16,8,4,16,2,84.48544921875
dds,False,False,8,16,16,4,4,2,42.477719116210935
dds,False,False,8,16,32,8,16,2,32.50401000976562
dds,False,False,8,16,64,8,4,4,30.6483642578125
dds,False,False,8,16,128,8,8,4,31.26983337402344
dds,False,False,8,32,8,2,4,4,90.04239501953126
dds,False,False,8,32,16,4,4,2,45.71172180175781
dds,False,False,8,32,32,2,16,2,36.58458557128906
dds,False,False,8,32,64,8,2,2,36.38044128417969
dds,False,False,8,32,128,8,4,2,36.610171508789065
dds,False,False,8,64,8,2,16,2,90.79548950195311
dds,False,False,8,64,16,2,8,2,45.22069091796875
dds,False,False,8,64,32,2,4,2,39.20011291503906
dds,False,False,8,64,64,4,2,4,31.470745849609376
dds,False,False,8,64,128,4,16,2,23.4410400390625
dds,False,False,8,128,8,2,2,2,inf
dds,False,False,8,128,16,2,4,2,54.0128662109375
dds,False,False,8,128,32,2,8,2,41.18137817382812
dds,False,False,8,128,64,2,4,2,40.19525146484375
dds,False,False,8,128,128,2,2,2,inf
dds,False,False,16,8,8,4,4,2,42.92951354980469
dds,False,False,16,8,16,4,2,2,25.0050048828125
dds,False,False,16,8,32,8,8,2,18.46839294433594
dds,False,False,16,8,64,8,4,4,16.389712524414062
dds,False,False,16,8,128,16,2,4,15.46875457763672
dds,False,False,16,16,8,2,16,2,44.96512756347656
dds,False,False,16,16,16,4,8,2,23.26790008544922
dds,False,False,16,16,32,8,16,2,18.670246887207032
dds,False,False,16,16,64,4,2,8,17.152764892578126
dds,False,False,16,16,128,16,16,2,17.652220153808592
dds,False,False,16,32,8,2,8,2,49.882073974609376
dds,False,False,16,32,16,4,4,2,25.979672241210935
dds,False,False,16,32,32,8,16,2,18.137794494628903
dds,False,False,16,32,64,4,2,4,19.2738525390625
dds,False,False,16,32,128,8,4,2,17.795779418945312
dds,False,False,16,64,8,2,2,2,45.37416687011719
dds,False,False,16,64,16,4,8,2,25.164306640625
dds,False,False,16,64,32,4,16,2,20.45664367675781
dds,False,False,16,64,64,4,16,2,19.650909423828125
dds,False,False,16,64,128,2,16,4,17.490185546875
dds,False,False,16,128,8,2,16,2,48.46643981933594
dds,False,False,16,128,16,2,4,2,31.333306884765623
dds,False,False,16,128,32,2,8,2,22.09304351806641
dds,False,False,16,128,64,4,2,2,22.02271728515625
dds,False,False,16,128,128,2,2,2,inf
dds,False,False,32,8,8,8,2,2,32.411660766601564
dds,False,False,32,8,16,8,2,2,18.840211486816408
dds,False,False,32,8,32,8,2,4,13.949766540527344
dds,False,False,32,8,64,16,8,4,12.54494400024414
