BH,BW,RT,latency
8,8,1,2.932566452026367
8,16,1,1.9577472686767576
8,32,8,1.262806415557861
8,64,4,1.323628807067871
8,128,8,1.3792127609252929
16,8,1,2.8719263076782227
16,16,1,2.08015365600586
16,32,16,1.258345603942871
16,64,16,1.326899242401123
16,128,16,1.3656064033508302
32,8,1,3.0519296646118166
32,16,1,1.8957759857177732
32,32,16,1.257376003265381
32,64,16,1.3052191734313965
32,128,16,1.350175952911377
64,8,1,2.818243217468262
64,16,1,1.8339935302734376
64,32,16,1.2456512451171875
64,64,16,1.295359992980957
64,128,16,1.386297607421875
128,8,1,2.712630462646485
128,16,1,1.7739871978759765
128,32,16,1.2388575553894043
128,64,16,1.31909122467041
128,128,8,1.383884811401367
