mode,trans_A,trans_B,BM,BK,BN,TM,TK,TN,latency
dds,False,False,8,8,8,2,2,2,346.447265625
dds,False,False,8,8,16,4,8,2,185.52266845703124
dds,False,False,8,8,32,2,2,8,136.56832275390624
dds,False,False,8,8,64,2,2,16,130.3582763671875
dds,False,False,8,8,128,2,2,2,inf
dds,False,False,8,16,8,2,4,2,325.844775390625
dds,False,False,8,16,16,2,4,2,176.13494873046875
dds,False,False,8,16,32,2,8,4,134.83704833984376
dds,False,False,8,16,64,4,8,4,136.79031982421876
dds,False,False,8,16,128,4,2,8,135.889501953125
dds,False,False,8,32,8,2,16,2,317.956201171875
dds,False,False,8,32,16,4,2,2,174.03084716796874
dds,False,False,8,32,32,4,8,2,140.1439208984375
dds,False,False,8,32,64,4,2,2,140.1817138671875
dds,False,False,8,32,128,4,2,8,132.7256591796875
dds,False,False,8,64,8,2,16,2,316.356591796875
dds,False,False,8,64,16,2,16,2,176.83394775390624
dds,False,False,8,64,32,2,16,4,140.68807373046874
dds,False,False,8,64,64,2,4,2,140.6648193359375
dds,False,False,8,64,128,4,2,2,140.1185302734375
dds,False,False,8,128,8,2,2,2,inf
dds,False,False,8,128,16,2,2,2,185.685791015625
dds,False,False,8,128,32,2,4,2,141.045654296875
dds,False,False,8,128,64,2,4,2,142.7243896484375
dds,False,False,8,128,128,2,2,2,inf
dds,False,False,16,8,8,4,8,2,180.28349609375
dds,False,False,16,8,16,4,4,2,90.68286743164064
dds,False,False,16,8,32,2,8,8,63.76509399414063
dds,False,False,16,8,64,2,2,16,57.508349609375
dds,False,False,16,8,128,4,4,16,66.71492919921874
dds,False,False,16,16,8,2,8,2,164.16531982421876
dds,False,False,16,16,16,2,2,4,90.65840454101564
dds,False,False,16,16,32,2,4,8,65.7502197265625
dds,False,False,16,16,64,4,2,8,68.99260864257812
dds,False,False,16,16,128,16,16,2,68.54666137695312
dds,False,False,16,32,8,2,8,4,157.861474609375
dds,False,False,16,32,16,2,8,2,86.76648559570313
dds,False,False,16,32,32,2,16,4,70.3776611328125
dds,False,False,16,32,64,4,4,2,70.49021606445312
dds,False,False,16,32,128,8,4,2,71.19052734375
dds,False,False,16,64,8,2,16,2,157.70018310546874
dds,False,False,16,64,16,4,4,2,89.58597412109376
dds,False,False,16,64,32,2,4,2,71.65633544921874
dds,False,False,16,64,64,2,16,2,72.54589233398437
dds,False,False,16,64,128,4,16,4,71.78956909179688
dds,False,False,16,128,8,2,2,2,130.49764404296874
dds,False,False,16,128,16,2,4,2,92.35322875976564
dds,False,False,16,128,32,2,4,2,72.428955078125
dds,False,False,16,128,64,2,2,2,71.17189331054688
dds,False,False,16,128,128,2,2,2,inf
dds,False,False,32,8,8,8,2,2,101.254248046875
dds,False,False,32,8,16,8,4,2,53.191357421875
dds,False,False,32,8,32,16,4,2,33.65990295410156
dds,False,False,32,8,64,4,8,16,33.06301574707031
dds,False,False,32,8,128,2,2,2,inf
dds,False,False,32,16,8,2,16,4,91.6569091796875
dds,False,False,32,16,16,8,4,2,49.24136047363281
dds,False,False,32,16,32,4,8,8,34.12129211425781
dds,False,False,32,16,64,4,8,4,34.86095275878906
dds,False,False,32,16,128,2,2,2,inf
dds,False,False,32,32,8,4,4,2,92.7152099609375
dds,False,False,32,32,16,8,16,2,48.76431274414063
dds,False,False,32,32,32,8,2,2,37.743002319335936
dds,False,False,32,32,64,8,4,2,35.66120910644531
dds,False,False,32,32,128,2,2,2,inf
dds,False,False,32,64,8,4,4,2,93.60137939453124
dds,False,False,32,64,16,4,16,2,52.41231079101563
dds,False,False,32,64,32,8,4,2,38.35975646972656
dds,False,False,32,64,64,4,8,2,37.809765625
dds,False,False,32,64,128,2,2,2,inf
dds,False,False,32,128,8,2,16,2,110.852392578125
dds,False,False,32,128,16,4,16,2,62.65753784179688
dds,False,False,32,128,32,4,8,2,41.68714294433594
dds,False,False,32,128,64,4,4,2,38.31879577636719
dds,False,False,32,128,128,2,2,2,inf
dds,False,False,64,8,8,16,2,2,66.14743041992188
dds,False,False,64,8,16,16,8,2,32.39331970214844
dds,False,False,64,8,32,8,8,8,23.92657928466797
dds,False,False,64,8,64,2,2,2,inf
dds,False,False,64,8,128,2,2,2,inf
dds,False,False,64,16,8,8,4,2,59.19006958007813
dds,False,False,64,16,16,16,2,2,30.32555541992188
dds,False,False,64,16,32,8,4,4,24.202114868164063
dds,False,False,64,16,64,2,2,2,inf
dds,False,False,64,16,128,2,2,2,inf
dds,False,False,64,32,8,8,16,2,76.00281372070313
dds,False,False,64,32,16,8,8,2,43.748556518554686
dds,False,False,64,32,32,16,4,2,28.074496459960937
dds,False,False,64,32,64,2,2,2,inf
dds,False,False,64,32,128,2,2,2,inf
dds,False,False,64,64,8,4,2,2,84.72975463867188
dds,False,False,64,64,16,4,16,2,49.43759460449219
dds,False,False,64,64,32,8,8,2,30.441778564453124
dds,False,False,64,64,64,2,2,2,inf
dds,False,False,64,64,128,2,2,2,inf
dds,False,False,64,128,8,2,2,2,130.02669677734374
dds,False,False,64,128,16,4,16,2,60.84157104492188
dds,False,False,64,128,32,4,16,2,38.609613037109376
dds,False,False,64,128,64,2,2,2,inf
dds,False,False,64,128,128,2,2,2,inf
dds,False,False,128,8,8,16,4,4,62.37511596679688
dds,False,False,128,8,16,16,2,4,29.57547607421875
dds,False,False,128,8,32,2,2,2,inf
