BH,BW,RT,latency
8,8,8,1.47172155380249
8,16,8,1.378435230255127
8,32,8,1.3317407608032226
8,64,4,1.3999648094177246
8,128,8,1.4530559539794925
16,8,16,1.4786432266235352
16,16,16,1.3883392333984377
16,32,8,1.337548828125
16,64,4,1.4118751525878903
16,128,8,1.435654354095459
32,8,16,1.4958016395568847
32,16,16,1.380352020263672
32,32,8,1.332419204711914
32,64,4,1.3878047943115237
32,128,8,1.4331423759460449
64,8,16,1.4967616081237791
64,16,16,1.378217601776123
64,32,8,1.3172800064086914
64,64,4,1.3741184234619142
64,128,4,1.4449919700622558
128,8,16,1.5054783821105957
128,16,16,1.3612863540649414
128,32,8,1.3031231880187988
128,64,4,1.3879072189331054
128,128,8,1.4422240257263184
