mode,trans_A,trans_B,BM,BK,BN,TM,TK,TN,latency
dds,False,False,8,8,8,2,4,2,137.782421875
dds,False,False,8,8,16,4,4,2,81.21327514648438
dds,False,False,8,8,32,4,8,4,58.17118530273437
dds,False,False,8,8,64,4,8,8,53.44810180664062
dds,False,False,8,8,128,2,2,2,inf
dds,False,False,8,16,8,2,2,2,127.66444091796876
dds,False,False,8,16,16,4,4,2,75.37125854492187
dds,False,False,8,16,32,8,2,2,57.64833374023438
dds,False,False,8,16,64,8,2,2,56.29953002929688
dds,False,False,8,16,128,4,2,8,52.68043823242188
dds,False,False,8,32,8,4,2,2,128.90439453125
dds,False,False,8,32,16,4,16,2,77.77259521484375
dds,False,False,8,32,32,2,8,4,57.87215576171875
dds,False,False,8,32,64,8,8,2,56.64256591796875
dds,False,False,8,32,128,8,4,4,35.3204833984375
dds,False,False,8,64,8,2,8,2,140.40911865234375
dds,False,False,8,64,16,2,2,2,78.588525390625
dds,False,False,8,64,32,4,4,2,59.27306518554688
dds,False,False,8,64,64,8,2,2,40.53104553222656
dds,False,False,8,64,128,4,4,2,39.970193481445314
dds,False,False,8,128,8,2,2,2,inf
dds,False,False,8,128,16,2,16,2,78.0264892578125
dds,False,False,8,128,32,4,16,2,59.5465576171875
dds,False,False,8,128,64,2,2,2,57.46602783203125
dds,False,False,8,128,128,2,2,2,inf
dds,False,False,16,8,8,4,2,2,77.00511474609375
dds,False,False,16,8,16,4,8,2,43.67920532226562
dds,False,False,16,8,32,4,8,4,29.630026245117183
dds,False,False,16,8,64,8,8,4,25.52135620117188
dds,False,False,16,8,128,16,4,4,22.91919708251953
dds,False,False,16,16,8,2,2,2,72.24513549804688
dds,False,False,16,16,16,4,8,2,39.28416442871094
dds,False,False,16,16,32,8,4,2,29.208779907226564
dds,False,False,16,16,64,16,2,2,25.984786987304688
dds,False,False,16,16,128,16,16,4,27.671630859375
dds,False,False,16,32,8,2,2,2,78.5121337890625
dds,False,False,16,32,16,4,16,2,43.13347473144531
dds,False,False,16,32,32,8,4,2,30.027035522460935
dds,False,False,16,32,64,4,2,2,29.388629150390624
dds,False,False,16,32,128,8,2,2,27.249371337890626
dds,False,False,16,64,8,2,2,2,78.403759765625
dds,False,False,16,64,16,4,16,2,42.969488525390624
dds,False,False,16,64,32,4,4,2,30.39943542480469
dds,False,False,16,64,64,4,16,2,29.69788513183594
