mode,trans_A,trans_B,BM,BK,BN,TM,TK,TN,latency
dds,False,False,16,16,16,4,4,4,114.3322
dds,False,False,16,16,32,4,4,4,82.87
dds,False,False,16,16,64,4,4,4,74.2951
dds,False,False,16,32,16,4,4,4,120.1529
dds,False,False,16,32,32,4,4,4,87.5296
dds,False,False,16,32,64,4,4,4,79.7643
dds,False,False,16,64,16,4,4,4,148.3481
dds,False,False,16,64,32,4,4,4,92.0502
dds,False,False,16,64,64,4,4,4,84.0627
dds,False,False,32,16,16,4,4,4,77.7297
dds,False,False,32,16,32,4,4,4,54.2717
dds,False,False,32,16,64,4,4,4,52.089
dds,False,False,32,32,16,4,4,4,83.1408
dds,False,False,32,32,32,4,4,4,59.8523
dds,False,False,32,32,64,4,4,4,54.2046
dds,False,False,32,64,16,4,4,4,98.1477
dds,False,False,32,64,32,4,4,4,69.5779
dds,False,False,32,64,64,4,4,4,56.5643
dds,False,False,64,16,16,4,4,4,64.2577
dds,False,False,64,16,32,4,4,4,50.0309
dds,False,False,64,32,16,4,4,4,75.437
dds,False,False,64,32,32,4,4,4,54.0036
dds,False,False,64,64,16,4,4,4,88.9933
dds,False,False,64,64,32,4,4,4,56.6697
dds,False,True,16,16,16,4,4,4,134.6172
dds,False,True,16,16,32,4,4,4,106.9163
dds,False,True,16,16,64,4,4,4,101.0877
dds,False,True,16,32,16,4,4,4,177.8903
dds,False,True,16,32,32,4,4,4,96.7729
dds,False,True,16,32,64,4,4,4,89.2383
dds,False,True,16,64,16,4,4,4,281.8069
dds,False,True,16,64,32,4,4,4,137.432
dds,False,True,16,64,64,4,4,4,132.7488
dds,False,True,32,16,16,4,4,4,83.1024
dds,False,True,32,16,32,4,4,4,65.4798
dds,False,True,32,16,64,4,4,4,59.4675
dds,False,True,32,32,16,4,4,4,93.876
dds,False,True,32,32,32,4,4,4,72.5978
dds,False,True,32,32,64,4,4,4,65.1659
dds,False,True,32,64,16,4,4,4,120.1478
dds,False,True,32,64,32,4,4,4,98.9469
dds,False,True,32,64,64,4,4,4,83.0436
dds,False,True,64,16,16,4,4,4,65.8737
dds,False,True,64,16,32,4,4,4,53.26
dds,False,True,64,32,16,4,4,4,81.8998
dds,False,True,64,32,32,4,4,4,60.1544
dds,False,True,64,64,16,4,4,4,99.884
dds,False,True,64,64,32,4,4,4,70.5451
