BH,BW,RT,latency
8,8,8,1.279923152923584
8,16,8,0.99749755859375
8,32,1,1.0297887802124024
8,64,1,1.0467743873596191
8,128,1,1.0584704399108886
16,8,8,1.2794048309326171
16,16,8,1.0008064270019532
16,32,1,1.0202848434448242
16,64,1,1.0429951667785644
16,128,1,1.0366432189941406
32,8,8,1.2889599800109863
32,16,8,1.001814365386963
32,32,1,1.0289952278137209
32,64,1,1.0377951622009278
32,128,1,1.0327327728271485
64,8,8,1.2794719696044925
64,16,8,1.0031680107116698
64,32,1,1.0151167869567872
64,64,1,1.0283136367797852
64,128,1,1.0416159629821775
128,8,16,1.3982175827026366
128,16,8,1.114236831665039
128,32,1,1.099283218383789
128,64,1,1.1017439842224122
128,128,1,1.077948760986328
